feature,importance,cum_importance
chronic_player_load_a_u_28d,0.1686803393293639,0.1686803393293639
ewma_ratio_distance_m,0.09082477658509176,0.2595051159144557
distance_m_lag1,0.07391045000542928,0.33341556591988497
acc_density,0.05733753299258246,0.39075309891246746
accelerations_count,0.0540693516574311,0.44482245056989855
distance_m,0.050054769401098195,0.49487721997099676
ewma28_distance_m,0.04943956168002806,0.5443167816510248
player_load_a_u_lag1,0.04841867174497221,0.592735453395997
distance_m_7d_avg,0.04253058873759043,0.6352660421335874
energy_expenditure_kcal,0.029879423395744894,0.6651454655293323
ewma_ratio_player_load_a_u,0.0278876968607054,0.6930331623900376
hmld_m,0.020358572734059326,0.7133917351240969
player_load_per_km,0.01838262554732411,0.731774360671421
acwr_player_load_a_u,0.017747074647314984,0.7495214353187359
abs_hsr_m_lag1,0.01746411730577809,0.7669855526245141
distance_m_lag2,0.016914185327950325,0.7838997379524644
player_load_a_u_lag2,0.016906375340835687,0.8008061132933001
ewma7_player_load_a_u,0.016747061945500047,0.8175531752388001
player_load_a_u_3d_avg,0.016101997053835724,0.8336551722926359
ewma28_player_load_a_u,0.01555484796219929,0.8492100202548352
ewma7_distance_m,0.014256858351516492,0.8634668786063516
player_load_a_u,0.013393258251606581,0.8768601368579582
abs_hsr_m_lag2,0.013242019651949903,0.8901021565099081
max_speed_km_h,0.01271592015020554,0.9028180766601136
distance_m_3d_avg,0.011389974502118655,0.9142080511622322
abs_hsr_m_3d_avg,0.010255085617818025,0.9244631367800503
ewma_ratio_abs_hsr_m,0.010006955254016342,0.9344700920340666
hsr_pct_distance,0.009884204122048025,0.9443542961561147
abs_hsr_m_7d_avg,0.009594947757864505,0.9539492439139792
ewma28_abs_hsr_m,0.008825067863613489,0.9627743117775927
abs_hsr_m,0.00794678829350011,0.9707211000710928
ewma7_abs_hsr_m,0.006643197376477502,0.9773642974475703
sprint_density,0.006562545990734235,0.9839268434383045
player_load_a_u_7d_avg,0.006222592807017837,0.9901494362453224
acute_player_load_a_u_7d,0.0056397998468240874,0.9957892360921464
position,0.0028638458575699017,0.9986530819497164
sprints_abs_count,0.0013469180502835459,0.9999999999999999
