feature,importance
chronic_player_load_a_u_28d,0.08888981
ewma28_distance_m,0.038685963
distance_m_lag1,0.038064715
distance_m_7d_avg,0.036518767
ewma_ratio_distance_m,0.036248524
player_load_a_u_7d_avg,0.035400424
player_load_a_u_lag1,0.0329308
acc_density,0.031424668
ewma_ratio_player_load_a_u,0.02934394
energy_expenditure_kcal,0.029221023
ewma7_player_load_a_u,0.027357511
abs_hsr_m_lag1,0.025123449
ewma28_player_load_a_u,0.02494043
distance_m_lag2,0.024263078
acute_player_load_a_u_7d,0.023363002
distance_m,0.02308542
hmld_m,0.023037247
ewma7_distance_m,0.022988494
accelerations_count,0.0228152
acwr_player_load_a_u,0.021547006
hsr_pct_distance,0.021538077
player_load_per_km,0.02112113
ewma_ratio_abs_hsr_m,0.020828342
abs_hsr_m_3d_avg,0.020803213
sprint_density,0.020765793
player_load_a_u_3d_avg,0.02009251
player_load_a_u_lag2,0.019969271
position_MC,0.019569322
distance_m_3d_avg,0.019509459
abs_hsr_m_lag2,0.0194229
abs_hsr_m_7d_avg,0.0187262
player_load_a_u,0.018528525
ewma28_abs_hsr_m,0.017889718
position_DELANTERO,0.01715317
max_speed_km_h,0.01655744
ewma7_abs_hsr_m,0.015910253
position_EXTREMO,0.015372344
position_DEF LATERAL,0.014990154
abs_hsr_m,0.014057461
sprints_abs_count,0.01194521
