player,position,records,first_date,last_date
Udlp 2022-2023,TEAM,1550,2022-07-11,2023-05-27
ALEX SUAREZ,DEF CENTRAL,1236,2022-07-11,2023-07-10
SERGI CARDONA,DEF LATERAL,1225,2022-07-11,2023-07-10
Enzo Loiodice,MC,1219,2022-07-11,2023-07-10
PEJIÑO FCO,EXTREMO,1207,2022-07-12,2023-07-10
Alberto Moleiro,MC,1200,2022-07-11,2023-07-10
Oscar Clemente,MC,1193,2022-07-11,2023-05-26
Alvaro Lemos,DEF LATERAL,1155,2022-07-11,2023-07-10
Fabio GLZ,MC,1143,2022-07-11,2023-05-27
ERIC CURBELO,DEF CENTRAL,1139,2022-07-11,2023-07-10
COCO BASILIO,DEF CENTRAL,1089,2022-07-11,2023-07-10
Álvaro Jimenez,EXTREMO,1073,2022-07-21,2023-05-26
Marc Cardona,DELANTERO,1069,2022-07-11,2023-07-10
Sidnei Rechel da Silva,DEF CENTRAL,1054,2022-07-11,2023-05-26
Omenuke  Mfulu,MC,1025,2022-07-11,2023-05-27
Jonathan Viera,MC,998,2022-07-12,2023-07-10
Enrique Clemente,DEF CENTRAL,966,2022-08-30,2023-07-10
MARVIN PARK,DEF LATERAL,845,2022-08-14,2023-05-27
Florin Andone,DELANTERO,716,2022-09-05,2023-05-26
Sandro Ramirez,DELANTERO,706,2022-08-23,2023-07-10
BENITO  RAMIREZ,EXTREMO,629,2022-07-11,2023-07-10
Kirian Rodriguez Concepción Kirian,MC,583,2022-07-11,2023-05-27
VITOLO MACHÍN,EXTREMO,509,2022-08-02,2023-05-05
JOEL DEL PINO,DEF LATERAL,498,2022-08-19,2023-07-10
Wilfrid Kaptoum,MC,481,2023-01-16,2023-05-26
ALEGARCIA GARCÍA,DELANTERO,424,2022-08-05,2023-04-21
Loren Morn,DELANTERO,423,2023-02-02,2023-05-26
Alejandro Palanca,DEF LATERAL,352,2022-08-05,2023-05-06
Julen Julenfilial,MC,346,2022-08-05,2022-12-30
Raul Navas,DEF CENTRAL,263,2022-07-11,2022-08-31
JoaquinFiliales Filial,MC,170,2022-12-09,2023-02-17
Oscar Pinchi,EXTREMO,89,2022-07-11,2023-07-10
Unai Veiga,MC,89,2022-07-11,2022-07-21
Erick Ferigra,DEF CENTRAL,74,2022-07-11,2022-07-20
MAIKEL MESA,MC,72,2022-07-11,2022-07-21
InAKI ELEJADE,EXTREMO,45,2022-08-05,2022-08-25
Saliu Filial,EXTREMO,29,2022-12-22,2023-01-05
ALE DIEZ,DEF LATERAL,14,2022-07-11,2022-07-21
David Vicente,DEF LATERAL,14,2022-08-05,2022-08-08
Cristian  Abreu,DEF CENTRAL,8,2022-08-05,2022-08-06
Udlp 2021-2022,TEAM,8,2022-08-22,2022-08-29
UD LAS PALMAS 23-24,TEAM,6,2023-07-10,2023-07-10
Cristian Herrera,DELANTERO,6,2023-07-10,2023-07-10
JAVI MUÑOZ,MC,6,2023-07-10,2023-07-10
Joaquin,MC,3,2022-11-29,2022-12-01
4,DEF CENTRAL,1,2023-03-18,2023-03-18
nan,nan,1,,
